${LS_COLORS:202:3} : 31
${LS_COLORS:203:3} : 1
${LS_COLORS:205:3} : *.a
${LS_COLORS:206:3} : .ar
${LS_COLORS:207:3} : arc
${LS_COLORS:208:3} : rc=
${LS_COLORS:209:3} : c=0
${LS_COLORS:210:3} : =01
${LS_COLORS:211:3} : 01;
${LS_COLORS:212:3} : 1;3
${LS_COLORS:213:3} : ;31
${LS_COLORS:214:3} : 31
${LS_COLORS:215:3} : 1
${LS_COLORS:217:3} : *.a
${LS_COLORS:218:3} : .ar
${LS_COLORS:219:3} : arj
${LS_COLORS:220:3} : rj=
${LS_COLORS:221:3} : j=0
${LS_COLORS:222:3} : =01
${LS_COLORS:223:3} : 01;
${LS_COLORS:224:3} : 1;3
${LS_COLORS:225:3} : ;31
${LS_COLORS:226:3} : 31
${LS_COLORS:227:3} : 1
${LS_COLORS:229:3} : *.b
${LS_COLORS:230:3} : .bz
${LS_COLORS:231:3} : bz=
${LS_COLORS:232:3} : z=0
${LS_COLORS:233:3} : =01
${LS_COLORS:234:3} : 01;
${LS_COLORS:235:3} : 1;3
${LS_COLORS:236:3} : ;31
${LS_COLORS:237:3} : 31
${LS_COLORS:238:3} : 1
${LS_COLORS:240:3} : *.b
${LS_COLORS:241:3} : .bz
${LS_COLORS:242:3} : bz2
${LS_COLORS:243:3} : z2=
${LS_COLORS:244:3} : 2=0
${LS_COLORS:245:3} : =01
${LS_COLORS:246:3} : 01;
${LS_COLORS:247:3} : 1;3
${LS_COLORS:248:3} : ;31
${LS_COLORS:249:3} : 31
${LS_COLORS:250:3} : 1
${LS_COLORS:252:3} : *.c
${LS_COLORS:253:3} : .ca
${LS_COLORS:254:3} : cab
${LS_COLORS:255:3} : ab=
${LS_COLORS:256:3} : b=0
${LS_COLORS:257:3} : =01
${LS_COLORS:258:3} : 01;
${LS_COLORS:259:3} : 1;3
${LS_COLORS:260:3} : ;31
${LS_COLORS:261:3} : 31
${LS_COLORS:262:3} : 1
${LS_COLORS:264:3} : *.c
${LS_COLORS:265:3} : .cp
${LS_COLORS:266:3} : cpi
${LS_COLORS:267:3} : pio
${LS_COLORS:268:3} : io=
${LS_COLORS:269:3} : o=0
${LS_COLORS:270:3} : =01
${LS_COLORS:271:3} : 01;
${LS_COLORS:272:3} : 1;3
${LS_COLORS:273:3} : ;31
${LS_COLORS:274:3} : 31
${LS_COLORS:275:3} : 1
${LS_COLORS:277:3} : *.c
${LS_COLORS:278:3} : .cr
${LS_COLORS:279:3} : cra
${LS_COLORS:280:3} : rat
${LS_COLORS:281:3} : ate
${LS_COLORS:282:3} : te=
${LS_COLORS:283:3} : e=0
${LS_COLORS:284:3} : =01
${LS_COLORS:285:3} : 01;
${LS_COLORS:286:3} : 1;3
${LS_COLORS:287:3} : ;31
${LS_COLORS:288:3} : 31
${LS_COLORS:289:3} : 1
${LS_COLORS:291:3} : *.d
${LS_COLORS:292:3} : .de
${LS_COLORS:293:3} : deb
${LS_COLORS:294:3} : eb=
${LS_COLORS:295:3} : b=0
${LS_COLORS:296:3} : =01
${LS_COLORS:297:3} : 01;
${LS_COLORS:298:3} : 1;3
${LS_COLORS:299:3} : ;31
${LS_COLORS:300:3} : 31
${LS_COLORS:301:3} : 1
${LS_COLORS:303:3} : *.d
${LS_COLORS:304:3} : .dr
${LS_COLORS:305:3} : drp
${LS_COLORS:306:3} : rpm
${LS_COLORS:307:3} : pm=
${LS_COLORS:308:3} : m=0
${LS_COLORS:309:3} : =01
${LS_COLORS:310:3} : 01;
${LS_COLORS:311:3} : 1;3
${LS_COLORS:312:3} : ;31
${LS_COLORS:313:3} : 31
${LS_COLORS:314:3} : 1
${LS_COLORS:316:3} : *.d
${LS_COLORS:317:3} : .dw
${LS_COLORS:318:3} : dwm
${LS_COLORS:319:3} : wm=
${LS_COLORS:320:3} : m=0
${LS_COLORS:321:3} : =01
${LS_COLORS:322:3} : 01;
${LS_COLORS:323:3} : 1;3
${LS_COLORS:324:3} : ;31
${LS_COLORS:325:3} : 31
${LS_COLORS:326:3} : 1
${LS_COLORS:328:3} : *.d
${LS_COLORS:329:3} : .dz
${LS_COLORS:330:3} : dz=
${LS_COLORS:331:3} : z=0
${LS_COLORS:332:3} : =01
${LS_COLORS:333:3} : 01;
${LS_COLORS:334:3} : 1;3
${LS_COLORS:335:3} : ;31
${LS_COLORS:336:3} : 31
${LS_COLORS:337:3} : 1
${LS_COLORS:339:3} : *.e
${LS_COLORS:340:3} : .ea
${LS_COLORS:341:3} : ear
${LS_COLORS:342:3} : ar=
${LS_COLORS:343:3} : r=0
${LS_COLORS:344:3} : =01
${LS_COLORS:345:3} : 01;
${LS_COLORS:346:3} : 1;3
${LS_COLORS:347:3} : ;31
${LS_COLORS:348:3} : 31
${LS_COLORS:349:3} : 1
${LS_COLORS:351:3} : *.e
${LS_COLORS:352:3} : .eg
${LS_COLORS:353:3} : egg
${LS_COLORS:354:3} : gg=
${LS_COLORS:355:3} : g=0
${LS_COLORS:356:3} : =01
${LS_COLORS:357:3} : 01;
${LS_COLORS:358:3} : 1;3
${LS_COLORS:359:3} : ;31
${LS_COLORS:360:3} : 31
${LS_COLORS:361:3} : 1
${LS_COLORS:363:3} : *.e
${LS_COLORS:364:3} : .es
${LS_COLORS:365:3} : esd
${LS_COLORS:366:3} : sd=
${LS_COLORS:367:3} : d=0
${LS_COLORS:368:3} : =01
${LS_COLORS:369:3} : 01;
${LS_COLORS:370:3} : 1;3
${LS_COLORS:371:3} : ;31
${LS_COLORS:372:3} : 31
${LS_COLORS:373:3} : 1
${LS_COLORS:375:3} : *.g
${LS_COLORS:376:3} : .gz
${LS_COLORS:377:3} : gz=
${LS_COLORS:378:3} : z=0
${LS_COLORS:379:3} : =01
${LS_COLORS:380:3} : 01;
${LS_COLORS:381:3} : 1;3
${LS_COLORS:382:3} : ;31
${LS_COLORS:383:3} : 31
${LS_COLORS:384:3} : 1
${LS_COLORS:386:3} : *.j
${LS_COLORS:387:3} : .ja
${LS_COLORS:388:3} : jar
${LS_COLORS:389:3} : ar=
${LS_COLORS:390:3} : r=0
${LS_COLORS:391:3} : =01
${LS_COLORS:392:3} : 01;
${LS_COLORS:393:3} : 1;3
${LS_COLORS:394:3} : ;31
${LS_COLORS:395:3} : 31
${LS_COLORS:396:3} : 1
${LS_COLORS:398:3} : *.l
${LS_COLORS:399:3} : .lh
${LS_COLORS:400:3} : lha
${LS_COLORS:401:3} : ha=
${LS_COLORS:402:3} : a=0
${LS_COLORS:403:3} : =01
${LS_COLORS:404:3} : 01;
${LS_COLORS:405:3} : 1;3
${LS_COLORS:406:3} : ;31
${LS_COLORS:407:3} : 31
${LS_COLORS:408:3} : 1
${LS_COLORS:410:3} : *.l
${LS_COLORS:411:3} : .lr
${LS_COLORS:412:3} : lrz
${LS_COLORS:413:3} : rz=
${LS_COLORS:414:3} : z=0
${LS_COLORS:415:3} : =01
${LS_COLORS:416:3} : 01;
${LS_COLORS:417:3} : 1;3
${LS_COLORS:418:3} : ;31
${LS_COLORS:419:3} : 31
${LS_COLORS:420:3} : 1
${LS_COLORS:422:3} : *.l
${LS_COLORS:423:3} : .lz
${LS_COLORS:424:3} : lz=
${LS_COLORS:425:3} : z=0
${LS_COLORS:426:3} : =01
${LS_COLORS:427:3} : 01;
${LS_COLORS:428:3} : 1;3
${LS_COLORS:429:3} : ;31
${LS_COLORS:430:3} : 31
${LS_COLORS:431:3} : 1
${LS_COLORS:433:3} : *.l
${LS_COLORS:434:3} : .lz
${LS_COLORS:435:3} : lz4
${LS_COLORS:436:3} : z4=
${LS_COLORS:437:3} : 4=0
${LS_COLORS:438:3} : =01
${LS_COLORS:439:3} : 01;
${LS_COLORS:440:3} : 1;3
${LS_COLORS:441:3} : ;31
${LS_COLORS:442:3} : 31
${LS_COLORS:443:3} : 1
${LS_COLORS:445:3} : *.l
